fill_id,order_id,symbol,strategy,side,price,qty,commission,timestamp_ns
F1,mm_A702,AAPL,mm,SELL,150.1000,100,0.1000,35000000000
F3,mm_B703,AAPL,mm,BUY,150.1400,100,0.1000,35100000000
F5,mm_A706,AAPL,mm,SELL,150.1000,50,0.0500,35200000000
F7,mm_A706,AAPL,mm,SELL,150.0900,50,0.0500,35200000000
F9,mm_B707,AAPL,mm,BUY,150.1400,50,0.0500,35300000000
F11,mm_B707,AAPL,mm,BUY,150.1500,50,0.0500,35300000000
F13,mm_A710,AAPL,mm,SELL,150.0900,100,0.1000,35400000000
F15,mm_B711,AAPL,mm,BUY,150.1500,100,0.1000,35500000000
F17,mm_A858,AAPL,mm,SELL,150.0900,100,0.1000,42800000000
F19,mm_B859,AAPL,mm,BUY,150.1100,100,0.1000,42900000000
F21,mm_A862,AAPL,mm,SELL,150.0900,50,0.0500,43000000000
F23,mm_B863,AAPL,mm,BUY,150.0900,50,0.0500,43100000000
F24,mm_A862,AAPL,mm,SELL,150.0900,50,0.0500,43100000000
F25,mm_B863,AAPL,mm,BUY,150.1100,50,0.0500,43100000000
F27,mm_A868,AAPL,mm,SELL,150.0800,100,0.1000,43300000000
F29,mm_B869,AAPL,mm,BUY,150.1100,100,0.1000,43400000000
F31,mm_A998,AAPL,mm,SELL,150.0800,50,0.0500,49800000000
F33,mm_A998,AAPL,mm,SELL,150.0800,50,0.0500,49800000000
F35,mm_B999,AAPL,mm,BUY,150.1100,50,0.0500,49900000000
F37,mm_B999,AAPL,mm,BUY,150.1100,50,0.0500,49900000000
F39,mm_A1002,AAPL,mm,SELL,150.0800,100,0.1000,50000000000
F41,mm_B1003,AAPL,mm,BUY,150.1100,100,0.1000,50100000000
F43,mm_A1006,AAPL,mm,SELL,150.0700,100,0.1000,50200000000
F45,mm_B1007,AAPL,mm,BUY,150.1100,100,0.1000,50300000000
F47,mm_B1329,AAPL,mm,BUY,150.0800,100,0.1000,66400000000
F49,mm_A1332,AAPL,mm,SELL,150.0700,50,0.0500,66500000000
F51,mm_A1332,AAPL,mm,SELL,150.0700,50,0.0500,66500000000
F53,mm_B1335,AAPL,mm,BUY,150.0800,50,0.0500,66700000000
F55,mm_B1335,AAPL,mm,BUY,150.0800,50,0.0500,66700000000
F57,mm_A1338,AAPL,mm,SELL,150.0700,100,0.1000,66800000000
F59,mm_B1339,AAPL,mm,BUY,150.0800,100,0.1000,66900000000
F61,mm_A1342,AAPL,mm,SELL,150.0700,100,0.1000,67000000000
F63,mm_B1349,AAPL,mm,BUY,150.0900,100,0.1000,67400000000
F65,mm_A1352,AAPL,mm,SELL,150.0700,50,0.0500,67500000000
F67,mm_A1352,AAPL,mm,SELL,150.0700,50,0.0500,67500000000
F69,mm_B1353,AAPL,mm,BUY,150.0900,50,0.0500,67600000000
F71,mm_B1353,AAPL,mm,BUY,150.0900,50,0.0500,67600000000
F73,mm_A1356,AAPL,mm,SELL,150.0700,100,0.1000,67700000000
F75,mm_B1359,AAPL,mm,BUY,150.0900,100,0.1000,67900000000
F77,mm_A1362,AAPL,mm,SELL,150.0700,100,0.1000,68000000000
F79,mm_B1363,AAPL,mm,BUY,150.0900,100,0.1000,68100000000
F81,mm_A1366,AAPL,mm,SELL,150.0700,50,0.0500,68200000000
F83,mm_A1366,AAPL,mm,SELL,150.0700,50,0.0500,68200000000
F85,mm_B1367,AAPL,mm,BUY,150.0900,50,0.0500,68300000000
F87,mm_B1367,AAPL,mm,BUY,150.0900,50,0.0500,68300000000
F89,mm_A1370,AAPL,mm,SELL,150.0700,100,0.1000,68400000000
F91,mm_B1371,AAPL,mm,BUY,150.0900,100,0.1000,68500000000
F93,mm_A1374,AAPL,mm,SELL,150.0700,100,0.1000,68600000000
F95,mm_B1375,AAPL,mm,BUY,150.0900,100,0.1000,68700000000
F97,mm_A1378,AAPL,mm,SELL,150.0700,50,0.0500,68800000000
F99,mm_A1378,AAPL,mm,SELL,150.0700,50,0.0500,68800000000
F101,mm_B1379,AAPL,mm,BUY,150.0900,50,0.0500,68900000000
F103,mm_B1379,AAPL,mm,BUY,150.0900,50,0.0500,68900000000
F105,mm_A1382,AAPL,mm,SELL,150.0700,100,0.1000,69000000000
F107,mm_B1383,AAPL,mm,BUY,150.0900,100,0.1000,69100000000
F109,mm_A1386,AAPL,mm,SELL,150.0600,100,0.1000,69200000000
F111,mm_B1387,AAPL,mm,BUY,150.0900,100,0.1000,69300000000
F113,mm_A1390,AAPL,mm,SELL,150.0600,50,0.0500,69400000000
F115,mm_A1390,AAPL,mm,SELL,150.0600,50,0.0500,69400000000
F148,mm_A2602,AAPL,mm,SELL,150.0800,100,0.1000,130000000000
F153,mm_B2603,AAPL,mm,BUY,150.1100,100,0.1000,130100000000
F155,mm_A2630,AAPL,mm,SELL,150.0700,50,0.0500,131400000000
F157,mm_A2630,AAPL,mm,SELL,150.0700,50,0.0500,131400000000
F159,mm_B2631,AAPL,mm,BUY,150.1100,100,0.1000,131500000000
F161,mm_A2634,AAPL,mm,SELL,150.0700,100,0.1000,131600000000
F163,mm_B2635,AAPL,mm,BUY,150.1100,50,0.0500,131700000000
F165,mm_B2635,AAPL,mm,BUY,150.1100,50,0.0500,131700000000
F183,mm_A3396,AAPL,mm,SELL,150.0700,50,0.0500,169700000000
F185,mm_A3396,AAPL,mm,SELL,150.0700,50,0.0500,169700000000
F187,mm_B3397,AAPL,mm,BUY,150.1000,50,0.0500,169800000000
F189,mm_B3397,AAPL,mm,BUY,150.1100,50,0.0500,169800000000
